Rank,Description,Category,Subscribers,Avg Views,Score
1-,MrBeast,娱乐类,3.67亿51%,1.84亿0.1%,
2-,Cocomelon - Nursery Rhymes,教育类,1.9亿10.5%,264.03万16.4%,
3-,Vlad and Niki,娱乐类,1.34亿18.6%,253.39万11.3%,
4-,✿ Kids Diana Show,娱乐类,1.31亿9.2%,374.28万6.4%,
5-,Like Nastya,娱乐类,1.26亿11.5%,1404.63万4.3%,
6-,Stokes Twins,人物与博客,1.15亿321.3%,8134.59万0.5%,
7-,WWE,体育类,1.07亿7%,35.89万485.7%,
8-,5-Minute Crafts,日常知识分享,8110万0.6%,12.23万2.4%,
91,Alan's Universe,娱乐类,8100万112.6%,1606.77万17.4%,
101,Baby Shark - Pinkfong Kids’ Songs & Stories,教育类,8050万1.8%,85.72万26.5%,
11-,A4,娱乐类,7530万45.1%,1052.96万3.3%,
12-,Toys and Colors,娱乐类,7220万37.3%,737.55万100%,
13-,Mark Rober,科学与技术,6460万60.3%,5238.09万0.1%,
14-,EminemMusic,音乐类,6410万8.5%,604万0.5%,
15-,Movieclips,电影与动画,6350万4.4%,2.66万47.5%,
16-,Dude Perfect,体育类,6080万1.3%,849.32万0.2%,
17-,Taylor Swift,音乐类,6070万6.9%,1216.91万0.3%,
18-,LooLoo Kids - Nursery Rhymes and Children's Songs,音乐类,5980万6.4%,36.61万2.1%,
19-,Topper Guild,娱乐类,5860万106.3%,1028.53万9.6%,
20-,Marshmello,音乐类,5770万1.4%,207.06万2.9%,
21-,Billion Surprise Toys,娱乐类,5770万4%,1.31万257.9%,
22-,Ariana Grande,音乐类,5560万3.7%,183.59万0.3%,
23-,Billie Eilish,音乐类,5480万11.4%,727.23万0.4%,
24-,SonyMusicIndiaVEVO,音乐类,5450万10.3%,380.56万57.9%,
25-,Zhong,娱乐类,5270万58.7%,772.51万37.4%,
26-,Masha and The Bear,电影与动画,5060万8.1%,37.04万1.7%,
27-,MrBeast 2,人物与博客,4930万30.8%,1269.08万0.4%,
28-,MrBeast Gaming,游戏类,4670万10.7%,6605.78万0.3%,
29-,Katy Perry,音乐类,4590万2.5%,15.43万7.2%,
30-,DaFuq!?Boom!,娱乐类,4520万14.4%,3494.47万0.4%,
31-,Genevieve's Playhouse - Learning Videos for Kids,电影与动画,4510万15.6%,820.03万5.7%,
32-,BRIGHT SIDE,娱乐类,4470万0.2%,2.27万9.7%,
33-,Like Nastya Show,娱乐类,4430万3%,22.91万3.2%,
34-,Vlad và Niki,娱乐类,4300万7.2%,392.64万2.7%,
35-,TEDx Talks,公益性活动,4250万11%,62031.9%,
36-,Like Nastya ESP,娱乐类,4210万5.8%,36.66万7.9%,
37-,Zach King,娱乐类,4210万51.4%,573.57万9%,
381,Little Baby Bum - Nursery Rhymes & Kids Songs,娱乐类,4150万1.5%,60.39万56.9%,
391,XXXTENTACION,音乐类,4150万3.8%,335.73万0.5%,
40-,Jason Derulo,音乐类,4100万41.9%,4.32万43.6%,
41-,LankyBox,游戏类,4070万16.3%,53.95万5.4%,
42-,Bruno Mars,音乐类,4060万7.7%,1608.19万1.4%,
43-,LeoNata Family,人物与博客,4050万23.1%,68.9万49.5%,
44-,★ Kids Roma Show,娱乐类,4010万28.5%,146.49万5.9%,
45-,BabyBus - Kids Songs and Cartoons,教育类,4010万14.9%,16.96万51.1%,
46-,Daddy Yankee,音乐类,3980万3.1%,139.84万9%,
47-,Ryan's World,娱乐类,3890万6.3%,21.09万22.2%,
48-,Diana and Roma ESP,娱乐类,3870万14.2%,58.74万5.6%,
49-,Marta and Rustam,搞笑类,3850万29.2%,230.28万28.5%,
50-,TheEllenShow,娱乐类,3830万0.3%,1.2万0.4%,
